timestamp,category,market_topic,sentiment_score,relevance_score,market_move_pct,note
2026-01-03T09:00:00Z,Crypto,BTC breakout odds,0.62,0.84,0.18,Bullish follow-through after ETF rumor burst
2026-01-05T14:00:00Z,Crypto,ETH ETF approval odds,0.54,0.79,0.11,Moderate positive sentiment with policy chatter
2026-01-07T18:00:00Z,Prediction Markets,Fed rate cut probability,-0.28,0.81,-0.14,Hawkish macro commentary strengthened
2026-01-10T11:30:00Z,AI,Open-source model launch impact,0.21,0.61,0.03,Mixed signal and weak conviction
2026-01-12T07:45:00Z,Elections,Regional election upset chances,-0.34,0.86,-0.17,Ground chatter and polling drift aligned bearish
2026-01-14T15:20:00Z,Finance,Gold rally continuation,0.18,0.68,0.02,Weak continuation without high confidence
2026-01-17T12:10:00Z,Crypto,SOL ecosystem expansion,0.58,0.83,0.15,Developer growth and social momentum
2026-01-20T20:50:00Z,Prediction Markets,Oil spike persistence,-0.41,0.88,-0.12,Conflict signal cluster favored sustained move
2026-01-22T16:40:00Z,AI,Chip export tightening,0.49,0.76,0.08,Restrictions narrative benefited select suppliers
2026-01-25T10:15:00Z,Crypto,Memecoin rotation durability,-0.08,0.59,-0.02,Noisy and low quality setup
2026-01-27T08:00:00Z,Finance,Small-cap squeeze strength,0.44,0.78,0.09,Broad risk-on tape helped momentum
2026-01-30T13:05:00Z,Elections,Coalition formation odds,-0.31,0.74,-0.06,Moderate edge but lower conviction than prior rows
